dataset,beam_width,k,avg_edges_1.0,train_relevant_1.0,train_seen_1.0,train_expanded_1.0,avg_edges_0.995,train_relevant_0.995,train_seen_0.995,train_expanded_0.995,avg_edges_0.99,train_relevant_0.99,train_seen_0.99,train_expanded_0.99,avg_edges_0.985,train_relevant_0.985,train_seen_0.985,train_expanded_0.985,avg_edges_0.98,train_relevant_0.98,train_seen_0.98,train_expanded_0.98,avg_edges_0.975,train_relevant_0.975,train_seen_0.975,train_expanded_0.975,avg_edges_0.97,train_relevant_0.97,train_seen_0.97,train_expanded_0.97,avg_edges_0.965,train_relevant_0.965,train_seen_0.965,train_expanded_0.965,avg_edges_0.96,train_relevant_0.96,train_seen_0.96,train_expanded_0.96,avg_edges_0.955,train_relevant_0.955,train_seen_0.955,train_expanded_0.955,avg_edges_0.95,train_relevant_0.95,train_seen_0.95,train_expanded_0.95,avg_edges_0.945,train_relevant_0.945,train_seen_0.945,train_expanded_0.945,avg_edges_0.94,train_relevant_0.94,train_seen_0.94,train_expanded_0.94,avg_edges_0.935,train_relevant_0.935,train_seen_0.935,train_expanded_0.935,avg_edges_0.93,train_relevant_0.93,train_seen_0.93,train_expanded_0.93,avg_edges_0.925,train_relevant_0.925,train_seen_0.925,train_expanded_0.925,avg_edges_0.92,train_relevant_0.92,train_seen_0.92,train_expanded_0.92,avg_edges_0.915,train_relevant_0.915,train_seen_0.915,train_expanded_0.915,avg_edges_0.91,train_relevant_0.91,train_seen_0.91,train_expanded_0.91,avg_edges_0.905,train_relevant_0.905,train_seen_0.905,train_expanded_0.905,avg_edges_0.9,train_relevant_0.9,train_seen_0.9,train_expanded_0.9,avg_edges_0.895,train_relevant_0.895,train_seen_0.895,train_expanded_0.895,avg_edges_0.89,train_relevant_0.89,train_seen_0.89,train_expanded_0.89,avg_edges_0.885,train_relevant_0.885,train_seen_0.885,train_expanded_0.885,avg_edges_0.88,train_relevant_0.88,train_seen_0.88,train_expanded_0.88,avg_edges_0.875,train_relevant_0.875,train_seen_0.875,train_expanded_0.875,avg_edges_0.87,train_relevant_0.87,train_seen_0.87,train_expanded_0.87,avg_edges_0.865,train_relevant_0.865,train_seen_0.865,train_expanded_0.865,avg_edges_0.86,train_relevant_0.86,train_seen_0.86,train_expanded_0.86,avg_edges_0.855,train_relevant_0.855,train_seen_0.855,train_expanded_0.855,avg_edges_0.85,train_relevant_0.85,train_seen_0.85,train_expanded_0.85,avg_edges_0.845,train_relevant_0.845,train_seen_0.845,train_expanded_0.845,avg_edges_0.84,train_relevant_0.84,train_seen_0.84,train_expanded_0.84,avg_edges_0.835,train_relevant_0.835,train_seen_0.835,train_expanded_0.835,avg_edges_0.83,train_relevant_0.83,train_seen_0.83,train_expanded_0.83,avg_edges_0.825,train_relevant_0.825,train_seen_0.825,train_expanded_0.825,avg_edges_0.82,train_relevant_0.82,train_seen_0.82,train_expanded_0.82,avg_edges_0.815,train_relevant_0.815,train_seen_0.815,train_expanded_0.815,avg_edges_0.81,train_relevant_0.81,train_seen_0.81,train_expanded_0.81,avg_edges_0.805,train_relevant_0.805,train_seen_0.805,train_expanded_0.805
mnist,8,10,19.637516666666667,7.97,258.98,15.03,9.319766666666666,7.54,165.66,19.69,7.86125,7.22,161.17,22.48,7.0401,6.84,157.44,24.26,6.4756833333333335,5.97,141.81,24.07,6.049683333333333,5.79,135.54,24.87,5.707333333333334,5.29,132.49,25.36,5.4233,4.5,123.44,25.07,5.1818333333333335,4.46,122.61,26.08,4.973566666666667,4.26,117.49,26.04,4.7878,3.69,109.4,25.2,4.623633333333333,3.17,103.07,24.76,4.476083333333333,3.22,104.64,25.99,4.3436,2.59,100.63,25.93,4.220166666666667,2.28,97.62,26.1,4.107333333333333,2.18,91.66,25.49,4.0011833333333335,2.3,89.62,25.35,3.903933333333333,2.14,87.74,25.27,3.813083333333333,1.89,84.29,24.86,3.728483333333333,1.77,81.55,24.46,3.650183333333333,1.74,82.26,25.14,3.57695,1.62,80.5,24.87,3.5063833333333334,1.56,79.79,25.19,3.44005,1.36,76.7,24.68,3.374283333333333,1.4,75.11,24.91,3.3151333333333333,1.32,75.55,25.69,3.257316666666666,1.26,76.01,26.75,3.203383333333333,1.3,73.35,26.23,3.1499,1.26,73.24,26.58,3.0999833333333333,1.28,71.63,26.27,3.051283333333333,1.26,70.64,26.54,3.0044166666666667,1.16,69.82,26.53,2.9592,1.15,68.52,26.46,2.91585,0.94,65.15,25.75,2.874816666666667,0.89,64.38,25.72,2.8355,0.83,63.74,25.77,2.79715,0.8,61.95,25.45,2.759533333333333,0.84,61.5,25.65,2.724333333333333,0.69,60.86,25.45,2.6893333333333334,0.72,58.61,24.85
mnist,8,100,19.637516666666667,8.0,258.98,15.03,9.319766666666666,7.83,165.66,19.69,7.86125,7.72,161.17,22.48,7.0401,7.61,157.44,24.26,6.4756833333333335,6.77,141.81,24.07,6.049683333333333,6.51,135.54,24.87,5.707333333333334,6.2,132.49,25.36,5.4233,5.55,123.44,25.07,5.1818333333333335,5.76,122.61,26.08,4.973566666666667,5.52,117.49,26.04,4.7878,4.78,109.4,25.2,4.623633333333333,4.18,103.07,24.76,4.476083333333333,4.57,104.64,25.99,4.3436,4.2,100.63,25.93,4.220166666666667,4.17,97.62,26.1,4.107333333333333,3.86,91.66,25.49,4.0011833333333335,3.85,89.62,25.35,3.903933333333333,3.65,87.74,25.27,3.813083333333333,3.34,84.29,24.86,3.728483333333333,3.24,81.55,24.46,3.650183333333333,3.31,82.26,25.14,3.57695,3.2,80.5,24.87,3.5063833333333334,3.08,79.79,25.19,3.44005,2.98,76.7,24.68,3.374283333333333,2.9,75.11,24.91,3.3151333333333333,2.8,75.55,25.69,3.257316666666666,2.71,76.01,26.75,3.203383333333333,2.71,73.35,26.23,3.1499,2.56,73.24,26.58,3.0999833333333333,2.55,71.63,26.27,3.051283333333333,2.47,70.64,26.54,3.0044166666666667,2.36,69.82,26.53,2.9592,2.45,68.52,26.46,2.91585,2.27,65.15,25.75,2.874816666666667,2.27,64.38,25.72,2.8355,2.17,63.74,25.77,2.79715,2.05,61.95,25.45,2.759533333333333,2.06,61.5,25.65,2.724333333333333,1.95,60.86,25.45,2.6893333333333334,1.75,58.61,24.85
mnist,16,1,19.637516666666667,1.0,374.84,22.69,9.319766666666666,0.97,217.98,27.49,7.86125,0.95,206.22,30.42,7.0401,0.93,201.72,32.82,6.4756833333333335,0.91,194.19,34.5,6.049683333333333,0.84,181.2,34.79,5.707333333333334,0.83,177.46,35.8,5.4233,0.7,168.87,35.72,5.1818333333333335,0.67,165.63,36.72,4.973566666666667,0.63,157.83,36.49,4.7878,0.53,148.13,35.69,4.623633333333333,0.52,149.15,37.15,4.476083333333333,0.5,148.26,38.33,4.3436,0.42,143.24,38.29,4.220166666666667,0.37,138.32,38.0,4.107333333333333,0.37,133.76,38.05,4.0011833333333335,0.38,131.52,38.41,3.903933333333333,0.36,129.93,38.69,3.813083333333333,0.32,126.59,38.75,3.728483333333333,0.29,122.94,38.52,3.650183333333333,0.27,116.2,37.24,3.57695,0.25,113.47,37.12,3.5063833333333334,0.24,111.85,37.15,3.44005,0.24,111.81,37.76,3.374283333333333,0.23,107.18,37.27,3.3151333333333333,0.21,105.49,37.4,3.257316666666666,0.21,105.35,38.46,3.203383333333333,0.22,103.42,38.21,3.1499,0.2,104.39,39.2,3.0999833333333333,0.19,104.6,39.73,3.051283333333333,0.2,103.85,40.24,3.0044166666666667,0.16,101.04,39.96,2.9592,0.15,97.26,38.96,2.91585,0.14,94.75,38.62,2.874816666666667,0.14,94.39,38.98,2.8355,0.15,92.7,38.86,2.79715,0.12,91.63,38.83,2.759533333333333,0.13,89.73,38.33,2.724333333333333,0.12,90.77,39.02,2.6893333333333334,0.12,86.06,38.02
mnist,16,10,19.637516666666667,9.86,374.84,22.69,9.319766666666666,9.47,217.98,27.49,7.86125,9.18,206.22,30.42,7.0401,8.9,201.72,32.82,6.4756833333333335,8.62,194.19,34.5,6.049683333333333,7.98,181.2,34.79,5.707333333333334,7.79,177.46,35.8,5.4233,6.62,168.87,35.72,5.1818333333333335,6.3,165.63,36.72,4.973566666666667,6.03,157.83,36.49,4.7878,5.22,148.13,35.69,4.623633333333333,5.16,149.15,37.15,4.476083333333333,4.9,148.26,38.33,4.3436,4.02,143.24,38.29,4.220166666666667,3.62,138.32,38.0,4.107333333333333,3.64,133.76,38.05,4.0011833333333335,3.69,131.52,38.41,3.903933333333333,3.48,129.93,38.69,3.813083333333333,3.12,126.59,38.75,3.728483333333333,2.98,122.94,38.52,3.650183333333333,2.72,116.2,37.24,3.57695,2.59,113.47,37.12,3.5063833333333334,2.49,111.85,37.15,3.44005,2.45,111.81,37.76,3.374283333333333,2.33,107.18,37.27,3.3151333333333333,2.12,105.49,37.4,3.257316666666666,2.06,105.35,38.46,3.203383333333333,2.05,103.42,38.21,3.1499,2.03,104.39,39.2,3.0999833333333333,1.99,104.6,39.73,3.051283333333333,1.97,103.85,40.24,3.0044166666666667,1.78,101.04,39.96,2.9592,1.71,97.26,38.96,2.91585,1.58,94.75,38.62,2.874816666666667,1.56,94.39,38.98,2.8355,1.56,92.7,38.86,2.79715,1.34,91.63,38.83,2.759533333333333,1.35,89.73,38.33,2.724333333333333,1.26,90.77,39.02,2.6893333333333334,1.28,86.06,38.02
mnist,16,100,19.637516666666667,16.0,374.84,22.69,9.319766666666666,15.93,217.98,27.49,7.86125,15.75,206.22,30.42,7.0401,15.59,201.72,32.82,6.4756833333333335,15.46,194.19,34.5,6.049683333333333,14.53,181.2,34.79,5.707333333333334,14.37,177.46,35.8,5.4233,12.72,168.87,35.72,5.1818333333333335,12.86,165.63,36.72,4.973566666666667,12.2,157.83,36.49,4.7878,10.84,148.13,35.69,4.623633333333333,10.5,149.15,37.15,4.476083333333333,10.89,148.26,38.33,4.3436,10.24,143.24,38.29,4.220166666666667,9.22,138.32,38.0,4.107333333333333,8.7,133.76,38.05,4.0011833333333335,8.78,131.52,38.41,3.903933333333333,8.47,129.93,38.69,3.813083333333333,7.9,126.59,38.75,3.728483333333333,7.73,122.94,38.52,3.650183333333333,7.3,116.2,37.24,3.57695,7.05,113.47,37.12,3.5063833333333334,6.71,111.85,37.15,3.44005,6.38,111.81,37.76,3.374283333333333,6.06,107.18,37.27,3.3151333333333333,5.84,105.49,37.4,3.257316666666666,5.88,105.35,38.46,3.203383333333333,5.63,103.42,38.21,3.1499,5.77,104.39,39.2,3.0999833333333333,5.47,104.6,39.73,3.051283333333333,5.42,103.85,40.24,3.0044166666666667,5.47,101.04,39.96,2.9592,5.38,97.26,38.96,2.91585,5.1,94.75,38.62,2.874816666666667,5.15,94.39,38.98,2.8355,5.13,92.7,38.86,2.79715,4.75,91.63,38.83,2.759533333333333,4.74,89.73,38.33,2.724333333333333,4.79,90.77,39.02,2.6893333333333334,4.37,86.06,38.02
mnist,32,1,19.637516666666667,1.0,588.37,38.34,9.319766666666666,1.0,310.5,43.39,7.86125,0.99,286.08,46.51,7.0401,0.98,274.4,48.98,6.4756833333333335,0.96,261.91,50.71,6.049683333333333,0.91,246.41,51.14,5.707333333333334,0.9,239.3,52.22,5.4233,0.85,239.27,54.72,5.1818333333333335,0.84,234.44,55.85,4.973566666666667,0.83,229.07,56.62,4.7878,0.74,222.84,57.04,4.623633333333333,0.68,216.35,57.09,4.476083333333333,0.65,212.49,58.17,4.3436,0.59,211.0,59.5,4.220166666666667,0.55,207.35,60.61,4.107333333333333,0.54,203.64,61.11,4.0011833333333335,0.5,195.71,60.15,3.903933333333333,0.49,190.77,59.65,3.813083333333333,0.43,185.67,59.35,3.728483333333333,0.38,181.03,59.35,3.650183333333333,0.4,179.42,60.01,3.57695,0.37,177.22,60.71,3.5063833333333334,0.36,172.96,60.2,3.44005,0.35,172.33,61.11,3.374283333333333,0.33,164.9,60.25,3.3151333333333333,0.31,162.92,60.61,3.257316666666666,0.3,161.78,61.43,3.203383333333333,0.29,163.35,62.86,3.1499,0.29,163.2,64.09,3.0999833333333333,0.29,163.31,64.93,3.051283333333333,0.28,158.82,64.24,3.0044166666666667,0.24,155.2,63.8,2.9592,0.24,152.71,63.82,2.91585,0.22,149.13,63.23,2.874816666666667,0.2,145.8,62.74,2.8355,0.21,146.33,63.74,2.79715,0.19,144.89,63.88,2.759533333333333,0.19,145.69,65.36,2.724333333333333,0.17,142.28,64.17,2.6893333333333334,0.16,139.1,63.85
mnist,32,10,19.637516666666667,9.99,588.37,38.34,9.319766666666666,9.92,310.5,43.39,7.86125,9.77,286.08,46.51,7.0401,9.61,274.4,48.98,6.4756833333333335,9.32,261.91,50.71,6.049683333333333,8.8,246.41,51.14,5.707333333333334,8.62,239.3,52.22,5.4233,8.21,239.27,54.72,5.1818333333333335,7.99,234.44,55.85,4.973566666666667,7.93,229.07,56.62,4.7878,7.36,222.84,57.04,4.623633333333333,6.9,216.35,57.09,4.476083333333333,6.63,212.49,58.17,4.3436,6.04,211.0,59.5,4.220166666666667,5.72,207.35,60.61,4.107333333333333,5.52,203.64,61.11,4.0011833333333335,5.09,195.71,60.15,3.903933333333333,4.91,190.77,59.65,3.813083333333333,4.46,185.67,59.35,3.728483333333333,3.98,181.03,59.35,3.650183333333333,4.25,179.42,60.01,3.57695,3.91,177.22,60.71,3.5063833333333334,3.7,172.96,60.2,3.44005,3.69,172.33,61.11,3.374283333333333,3.45,164.9,60.25,3.3151333333333333,3.2,162.92,60.61,3.257316666666666,3.14,161.78,61.43,3.203383333333333,3.02,163.35,62.86,3.1499,3.13,163.2,64.09,3.0999833333333333,3.11,163.31,64.93,3.051283333333333,2.93,158.82,64.24,3.0044166666666667,2.61,155.2,63.8,2.9592,2.5,152.71,63.82,2.91585,2.28,149.13,63.23,2.874816666666667,2.13,145.8,62.74,2.8355,2.2,146.33,63.74,2.79715,2.1,144.89,63.88,2.759533333333333,2.17,145.69,65.36,2.724333333333333,1.92,142.28,64.17,2.6893333333333334,1.8,139.1,63.85
mnist,32,100,19.637516666666667,32.0,588.37,38.34,9.319766666666666,32.0,310.5,43.39,7.86125,31.88,286.08,46.51,7.0401,31.91,274.4,48.98,6.4756833333333335,31.64,261.91,50.71,6.049683333333333,30.13,246.41,51.14,5.707333333333334,29.76,239.3,52.22,5.4233,28.82,239.27,54.72,5.1818333333333335,29.0,234.44,55.85,4.973566666666667,28.79,229.07,56.62,4.7878,26.86,222.84,57.04,4.623633333333333,25.35,216.35,57.09,4.476083333333333,25.56,212.49,58.17,4.3436,23.85,211.0,59.5,4.220166666666667,23.04,207.35,60.61,4.107333333333333,22.41,203.64,61.11,4.0011833333333335,20.87,195.71,60.15,3.903933333333333,20.36,190.77,59.65,3.813083333333333,18.98,185.67,59.35,3.728483333333333,17.2,181.03,59.35,3.650183333333333,18.44,179.42,60.01,3.57695,17.73,177.22,60.71,3.5063833333333334,16.81,172.96,60.2,3.44005,16.81,172.33,61.11,3.374283333333333,15.54,164.9,60.25,3.3151333333333333,14.45,162.92,60.61,3.257316666666666,13.67,161.78,61.43,3.203383333333333,13.29,163.35,62.86,3.1499,13.8,163.2,64.09,3.0999833333333333,13.78,163.31,64.93,3.051283333333333,13.54,158.82,64.24,3.0044166666666667,12.83,155.2,63.8,2.9592,12.26,152.71,63.82,2.91585,11.51,149.13,63.23,2.874816666666667,11.42,145.8,62.74,2.8355,11.77,146.33,63.74,2.79715,11.52,144.89,63.88,2.759533333333333,11.65,145.69,65.36,2.724333333333333,11.11,142.28,64.17,2.6893333333333334,10.5,139.1,63.85
mnist,64,1,19.637516666666667,1.0,966.54,69.95,9.319766666666666,1.0,470.37,74.32,7.86125,0.99,421.04,77.3,7.0401,0.99,395.98,79.84,6.4756833333333335,0.98,379.06,82.44,6.049683333333333,0.97,366.39,85.09,5.707333333333334,0.96,354.23,86.27,5.4233,0.9,347.4,88.12,5.1818333333333335,0.9,339.0,89.73,4.973566666666667,0.87,327.92,89.79,4.7878,0.83,324.86,92.21,4.623633333333333,0.81,322.48,94.21,4.476083333333333,0.73,310.5,93.31,4.3436,0.69,308.26,95.04,4.220166666666667,0.69,305.02,96.98,4.107333333333333,0.69,306.07,99.4,4.0011833333333335,0.6,295.25,98.32,3.903933333333333,0.6,290.72,98.55,3.813083333333333,0.55,293.4,102.07,3.728483333333333,0.49,283.25,100.76,3.650183333333333,0.51,278.47,100.39,3.57695,0.46,274.55,100.78,3.5063833333333334,0.44,266.32,99.46,3.44005,0.43,266.3,101.04,3.374283333333333,0.42,261.57,101.75,3.3151333333333333,0.41,252.57,99.78,3.257316666666666,0.36,248.12,99.86,3.203383333333333,0.34,247.11,100.73,3.1499,0.33,241.83,100.19,3.0999833333333333,0.32,240.19,101.32,3.051283333333333,0.34,241.3,103.64,3.0044166666666667,0.28,233.95,102.05,2.9592,0.28,231.03,102.44,2.91585,0.27,234.77,105.62,2.874816666666667,0.26,229.63,105.1,2.8355,0.27,228.43,105.47,2.79715,0.25,223.01,104.59,2.759533333333333,0.25,223.49,106.32,2.724333333333333,0.25,219.22,105.15,2.6893333333333334,0.22,214.48,104.4
mnist,64,10,19.637516666666667,10.0,966.54,69.95,9.319766666666666,10.0,470.37,74.32,7.86125,9.88,421.04,77.3,7.0401,9.85,395.98,79.84,6.4756833333333335,9.78,379.06,82.44,6.049683333333333,9.66,366.39,85.09,5.707333333333334,9.48,354.23,86.27,5.4233,9.04,347.4,88.12,5.1818333333333335,9.05,339.0,89.73,4.973566666666667,8.78,327.92,89.79,4.7878,8.54,324.86,92.21,4.623633333333333,8.38,322.48,94.21,4.476083333333333,7.79,310.5,93.31,4.3436,7.4,308.26,95.04,4.220166666666667,7.22,305.02,96.98,4.107333333333333,7.23,306.07,99.4,4.0011833333333335,6.35,295.25,98.32,3.903933333333333,6.33,290.72,98.55,3.813083333333333,6.01,293.4,102.07,3.728483333333333,5.5,283.25,100.76,3.650183333333333,5.54,278.47,100.39,3.57695,5.13,274.55,100.78,3.5063833333333334,4.76,266.32,99.46,3.44005,4.75,266.3,101.04,3.374283333333333,4.62,261.57,101.75,3.3151333333333333,4.32,252.57,99.78,3.257316666666666,3.87,248.12,99.86,3.203383333333333,3.75,247.11,100.73,3.1499,3.75,241.83,100.19,3.0999833333333333,3.7,240.19,101.32,3.051283333333333,3.91,241.3,103.64,3.0044166666666667,3.32,233.95,102.05,2.9592,3.2,231.03,102.44,2.91585,3.19,234.77,105.62,2.874816666666667,3.06,229.63,105.1,2.8355,3.12,228.43,105.47,2.79715,2.95,223.01,104.59,2.759533333333333,2.95,223.49,106.32,2.724333333333333,2.88,219.22,105.15,2.6893333333333334,2.56,214.48,104.4
mnist,64,100,19.637516666666667,64.0,966.54,69.95,9.319766666666666,63.99,470.37,74.32,7.86125,63.63,421.04,77.3,7.0401,63.62,395.98,79.84,6.4756833333333335,63.42,379.06,82.44,6.049683333333333,62.82,366.39,85.09,5.707333333333334,62.06,354.23,86.27,5.4233,59.6,347.4,88.12,5.1818333333333335,60.12,339.0,89.73,4.973566666666667,58.74,327.92,89.79,4.7878,57.56,324.86,92.21,4.623633333333333,56.39,322.48,94.21,4.476083333333333,53.98,310.5,93.31,4.3436,51.38,308.26,95.04,4.220166666666667,50.07,305.02,96.98,4.107333333333333,50.56,306.07,99.4,4.0011833333333335,45.68,295.25,98.32,3.903933333333333,45.65,290.72,98.55,3.813083333333333,44.21,293.4,102.07,3.728483333333333,40.74,283.25,100.76,3.650183333333333,40.66,278.47,100.39,3.57695,38.66,274.55,100.78,3.5063833333333334,36.07,266.32,99.46,3.44005,36.18,266.3,101.04,3.374283333333333,35.2,261.57,101.75,3.3151333333333333,32.49,252.57,99.78,3.257316666666666,29.35,248.12,99.86,3.203383333333333,28.67,247.11,100.73,3.1499,28.52,241.83,100.19,3.0999833333333333,28.17,240.19,101.32,3.051283333333333,29.52,241.3,103.64,3.0044166666666667,26.25,233.95,102.05,2.9592,25.19,231.03,102.44,2.91585,25.74,234.77,105.62,2.874816666666667,24.35,229.63,105.1,2.8355,24.48,228.43,105.47,2.79715,23.72,223.01,104.59,2.759533333333333,23.47,223.49,106.32,2.724333333333333,22.72,219.22,105.15,2.6893333333333334,20.25,214.48,104.4
mnist,100,1,19.637516666666667,1.0,1337.95,105.67,9.319766666666666,1.0,630.93,109.87,7.86125,0.99,558.28,112.87,7.0401,0.99,520.33,115.01,6.4756833333333335,0.98,493.14,117.33,6.049683333333333,0.98,476.54,120.43,5.707333333333334,0.96,457.92,121.08,5.4233,0.93,456.24,125.58,5.1818333333333335,0.92,442.44,126.55,4.973566666666667,0.9,427.99,126.55,4.7878,0.89,426.43,130.4,4.623633333333333,0.87,420.48,132.11,4.476083333333333,0.84,409.7,132.51,4.3436,0.82,411.74,136.31,4.220166666666667,0.79,409.99,138.86,4.107333333333333,0.79,401.91,139.18,4.0011833333333335,0.73,396.18,141.45,3.903933333333333,0.69,380.5,138.34,3.813083333333333,0.64,382.07,141.85,3.728483333333333,0.62,385.64,145.72,3.650183333333333,0.58,371.97,142.46,3.57695,0.54,366.69,143.13,3.5063833333333334,0.52,360.56,143.21,3.44005,0.5,354.53,143.11,3.374283333333333,0.47,347.32,142.88,3.3151333333333333,0.49,339.85,141.98,3.257316666666666,0.45,343.66,145.62,3.203383333333333,0.42,344.32,147.64,3.1499,0.39,333.55,145.39,3.0999833333333333,0.37,322.48,143.4,3.051283333333333,0.37,317.66,143.61,3.0044166666666667,0.33,315.0,143.8,2.9592,0.32,307.18,142.15,2.91585,0.32,314.98,147.49,2.874816666666667,0.3,307.27,145.83,2.8355,0.32,306.98,147.51,2.79715,0.29,295.88,144.48,2.759533333333333,0.29,295.45,146.17,2.724333333333333,0.32,304.15,151.5,2.6893333333333334,0.29,289.57,146.79
mnist,100,10,19.637516666666667,10.0,1337.95,105.67,9.319766666666666,10.0,630.93,109.87,7.86125,9.89,558.28,112.87,7.0401,9.89,520.33,115.01,6.4756833333333335,9.85,493.14,117.33,6.049683333333333,9.85,476.54,120.43,5.707333333333334,9.58,457.92,121.08,5.4233,9.42,456.24,125.58,5.1818333333333335,9.32,442.44,126.55,4.973566666666667,9.1,427.99,126.55,4.7878,9.07,426.43,130.4,4.623633333333333,8.96,420.48,132.11,4.476083333333333,8.65,409.7,132.51,4.3436,8.5,411.74,136.31,4.220166666666667,8.16,409.99,138.86,4.107333333333333,8.05,401.91,139.18,4.0011833333333335,7.51,396.18,141.45,3.903933333333333,7.03,380.5,138.34,3.813083333333333,6.8,382.07,141.85,3.728483333333333,6.66,385.64,145.72,3.650183333333333,6.3,371.97,142.46,3.57695,5.91,366.69,143.13,3.5063833333333334,5.64,360.56,143.21,3.44005,5.48,354.53,143.11,3.374283333333333,5.15,347.32,142.88,3.3151333333333333,5.11,339.85,141.98,3.257316666666666,4.77,343.66,145.62,3.203383333333333,4.57,344.32,147.64,3.1499,4.52,333.55,145.39,3.0999833333333333,4.45,322.48,143.4,3.051283333333333,4.41,317.66,143.61,3.0044166666666667,3.99,315.0,143.8,2.9592,3.7,307.18,142.15,2.91585,3.73,314.98,147.49,2.874816666666667,3.48,307.27,145.83,2.8355,3.7,306.98,147.51,2.79715,3.45,295.88,144.48,2.759533333333333,3.44,295.45,146.17,2.724333333333333,3.72,304.15,151.5,2.6893333333333334,3.29,289.57,146.79
mnist,100,100,19.637516666666667,98.39,1337.95,105.67,9.319766666666666,96.27,630.93,109.87,7.86125,94.17,558.28,112.87,7.0401,92.6,520.33,115.01,6.4756833333333335,91.04,493.14,117.33,6.049683333333333,89.32,476.54,120.43,5.707333333333334,86.91,457.92,121.08,5.4233,84.77,456.24,125.58,5.1818333333333335,83.75,442.44,126.55,4.973566666666667,80.89,427.99,126.55,4.7878,79.84,426.43,130.4,4.623633333333333,77.62,420.48,132.11,4.476083333333333,75.66,409.7,132.51,4.3436,74.05,411.74,136.31,4.220166666666667,70.21,409.99,138.86,4.107333333333333,68.87,401.91,139.18,4.0011833333333335,65.4,396.18,141.45,3.903933333333333,61.13,380.5,138.34,3.813083333333333,59.44,382.07,141.85,3.728483333333333,57.97,385.64,145.72,3.650183333333333,55.61,371.97,142.46,3.57695,52.5,366.69,143.13,3.5063833333333334,50.23,360.56,143.21,3.44005,49.11,354.53,143.11,3.374283333333333,46.29,347.32,142.88,3.3151333333333333,44.49,339.85,141.98,3.257316666666666,41.87,343.66,145.62,3.203383333333333,40.28,344.32,147.64,3.1499,39.14,333.55,145.39,3.0999833333333333,38.81,322.48,143.4,3.051283333333333,38.04,317.66,143.61,3.0044166666666667,34.91,315.0,143.8,2.9592,32.77,307.18,142.15,2.91585,32.98,314.98,147.49,2.874816666666667,31.1,307.27,145.83,2.8355,32.3,306.98,147.51,2.79715,30.66,295.88,144.48,2.759533333333333,30.65,295.45,146.17,2.724333333333333,32.0,304.15,151.5,2.6893333333333334,27.92,289.57,146.79
mnist,128,1,19.637516666666667,1.0,1607.16,133.55,9.319766666666666,1.0,748.46,137.68,7.86125,1.0,660.96,140.88,7.0401,0.99,611.06,142.81,6.4756833333333335,0.99,577.47,144.88,6.049683333333333,1.0,560.51,148.71,5.707333333333334,0.99,541.68,150.37,5.4233,0.97,535.75,154.85,5.1818333333333335,0.97,517.27,155.47,4.973566666666667,0.94,497.13,154.1,4.7878,0.92,495.93,158.87,4.623633333333333,0.89,488.95,160.87,4.476083333333333,0.87,483.26,163.54,4.3436,0.86,486.22,168.37,4.220166666666667,0.84,488.58,172.67,4.107333333333333,0.83,477.41,172.63,4.0011833333333335,0.8,478.98,177.43,3.903933333333333,0.77,463.86,175.36,3.813083333333333,0.74,463.55,178.41,3.728483333333333,0.7,457.78,178.6,3.650183333333333,0.67,445.44,176.52,3.57695,0.61,438.37,176.32,3.5063833333333334,0.59,434.12,177.81,3.44005,0.58,428.24,178.04,3.374283333333333,0.54,424.57,179.83,3.3151333333333333,0.53,419.5,180.71,3.257316666666666,0.46,403.82,177.59,3.203383333333333,0.45,408.96,181.39,3.1499,0.44,402.95,181.59,3.0999833333333333,0.42,390.31,179.22,3.051283333333333,0.4,378.11,176.19,3.0044166666666667,0.37,372.5,175.04,2.9592,0.37,360.6,172.33,2.91585,0.38,373.01,180.11,2.874816666666667,0.37,365.49,179.12,2.8355,0.38,371.47,183.83,2.79715,0.35,357.68,179.65,2.759533333333333,0.34,353.08,179.44,2.724333333333333,0.34,354.92,181.83,2.6893333333333334,0.3,339.35,176.62
